Asset,Order Type,Side,Qty,Filled Qty,Avg Fill Price,Status,Source,Submitted At,Filled At,Expires At
GOOG,Market,sell,3.26473352,3.26473352,302.057295,filled,-,2026-03-20 04:00:32,2026-03-20 09:33:14,2026-03-20 04:00:00
NVDA,Market,sell,1.38516434,1.38516434,177.13,filled,-,2026-03-20 04:00:32,2026-03-20 09:31:10,2026-03-20 04:00:00
AAPL,Market,sell,1.904976,1.904976,247.72,filled,-,2026-03-20 04:00:32,2026-03-20 09:30:39,2026-03-20 04:00:00
GOOG,Market,sell,3.26473352,0.00,,canceled,-,2026-03-20 12:50:12,,2026-03-20 04:00:00
GOOG,Market,sell,3.26473352,0.00,,canceled,-,2026-03-20 12:50:09,,2026-03-20 04:00:00
NVDA,Market,buy,,1.38516434,180.484,filled,access_key,2026-03-06 09:32:01,2026-03-06 09:32:01,2026-03-06 04:00:00
GOOG,Market,buy,,0.82588386,302.706,filled,access_key,2026-03-02 09:32:16,2026-03-02 09:32:16,2026-03-02 04:00:00
GOOG,Market,buy,,0.8102467,308.548,filled,access_key,2026-02-26 09:36:56,2026-02-26 09:36:56,2026-02-26 04:00:00
GOOG,Market,buy,,0.80702955,309.778,filled,access_key,2026-02-26 09:32:01,2026-02-26 09:32:01,2026-02-26 04:00:00
GOOG,Market,buy,,0.82157341,304.282,filled,access_key,2026-02-19 12:28:00,2026-02-19 12:28:00,2026-02-19 04:00:00
AAPL,Market,buy,,0.952488,262.46,filled,access_key,2026-02-19 09:23:02,2026-02-19 09:30:01,2026-02-19 04:00:00
AAPL,Market,buy,,0.952488,262.46,filled,access_key,2026-02-19 09:23:02,2026-02-19 09:30:01,2026-02-19 04:00:00
AAPL,Market,sell,5.00,5.00,278.93,filled,525954a523df2bdf5fc27cc1a40a882a,2026-02-11 11:04:04,2026-02-11 11:04:05,2026-02-11 04:00:00
AAPL,Market,buy,1.00,1.00,259.96,filled,access_key,2026-01-27 07:23:59,2026-01-27 09:31:16,2026-01-27 04:00:00
QQQ,Market,sell,150.00,150.00,610.58,filled,525954a523df2bdf5fc27cc1a40a882a,2026-01-20 07:02:39,2026-01-20 09:32:09,2026-01-20 04:00:00
AAPL,Market,buy,1.00,1.00,254.33,filled,access_key,2026-01-20 07:02:39,2026-01-20 09:33:07,2026-01-20 04:00:00
AAPL,Market,buy,1.00,1.00,254.09,filled,access_key,2026-01-20 07:02:39,2026-01-20 09:31:52,2026-01-20 04:00:00
AAPL,Market,buy,1.00,1.00,259.22,filled,access_key,2026-01-15 13:17:20,2026-01-15 13:17:20,2026-01-15 04:00:00
AAPL,Market,buy,1.00,1.00,259.17,filled,access_key,2026-01-15 13:16:33,2026-01-15 13:16:33,2026-01-15 04:00:00
QQQ,Market,buy,150.00,150.00,625.355667,filled,525954a523df2bdf5fc27cc1a40a882a,2026-01-15 10:20:27,2026-01-15 10:20:28,2026-04-15 04:00:00
CVX,Limit,sell,500.00,500.00,166.46,filled,525954a523df2bdf5fc27cc1a40a882a,2026-01-12 09:31:49,2026-01-14 09:36:50,2026-04-10 04:00:00
CVX,Limit,buy,500.00,500.00,161.97602,filled,525954a523df2bdf5fc27cc1a40a882a,2026-01-12 08:41:38,2026-01-12 09:31:47,2026-04-10 04:00:00
CVX,Stop,sell,500.00,0.00,,canceled,525954a523df2bdf5fc27cc1a40a882a,2026-01-12 08:41:38,,2026-04-10 04:00:00
